Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM	Tissue_specific
HLA-DRB1	HLA-DR1B	ENSG00000196126	Major histocompatibility complex, class II, DR beta 1	6	32578769-32589848	Disease related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB015400, CAB034021, HPA043151	Enhanced	NA	NA	NA	NA	Expressed in all	Tissue enhanced	NA	lung: 868.4	lymph node: 619.6	Cell line enhanced	NA	HDLM-2: 1095.2;U-87 MG: 302.0	Lung
HLA-DRB5	NA	ENSG00000198502	Major histocompatibility complex, class II, DR beta 5	6	32517343-32530287	Predicted membrane proteins	Evidence at protein level	HPA043151	Supported	NA	NA	NA	Endometrial cancer:7.89e-4 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 530.8	lymph node: 397.6	Group enriched	7	HDLM-2: 589.3;HMC-1: 134.7;U-698: 129.3;U-87 MG: 232.1	Lung
HMCN1	ARMD1, FBLN6, FIBL-6, FIBL6	ENSG00000143341	Hemicentin 1	1	185734551-186190949	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA051677	Uncertain	NA	NA	NA	Renal cancer:3.59e-7 (unfavourable)	Tissue enriched	Tissue enhanced	NA	lung: 22.3	prostate: 12.6	Group enriched	6	fHDF/TERT166: 17.3;MCF7: 58.7;SK-MEL-30: 38.8;U-138 MG: 13.5;WM-115: 43.4	Lung
HTR3C	NA	ENSG00000178084	5-hydroxytryptamine receptor 3C	3	184053047-184060671	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	lung: 1.9	duodenum: 0.4	Not detected	NA	NA	Lung
ICAM4	CD242, LW	ENSG00000105371	Intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	19	10286967-10288522	Blood group antigen proteins, CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	bone marrow: 8.7;lung: 14.5	epididymis: 2.9	Cell line enhanced	NA	HEL: 67.4;K-562: 35.3;NB-4: 20.5	Lung
INMT	NA	ENSG00000241644	Indolethylamine N-methyltransferase	7	30697985-30757602	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA061343	NA	NA	Approved	Golgi apparatus<br>Vesicles	Liver cancer:5.72e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	lung: 144.8	seminal vesicle: 66.2	Group enriched	6	CACO-2: 13.8;HHSteC: 5.7	Lung
IRX2	NA	ENSG00000170561	Iroquois homeobox 2	5	2745845-2751662	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA050895, HPA054669	Approved	NA	Approved	Nucleus<br>Nucleoli	Pancreatic cancer:8.84e-4 (favourable)	Mixed	Tissue enhanced	NA	breast: 29.6;lung: 28.0	skin: 19.5	Cell line enhanced	NA	AF22: 100.0;BEWO: 58.5;hTCEpi: 47.9	Lung
IRX5	IRX-2a	ENSG00000176842	Iroquois homeobox 5	16	54930862-54934485	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA047130	NA	NA	Approved	Nuclear speckles<br>Microtubules<br>Cytosol	Lung cancer:4.59e-4 (favourable)	Tissue enhanced	Tissue enhanced	NA	breast: 17.9;lung: 9.6;skin: 10.1	salivary gland: 4.6	Cell line enhanced	NA	RPTEC TERT1: 20.1;T-47d: 34.4	Lung
ITGAE	CD103, HUMINAE	ENSG00000083457	Integrin subunit alpha E	17	3714628-3801243	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB026461, HPA036313	Approved	NA	NA	NA	Renal cancer:1.13e-8 (unfavourable), Endometrial cancer:1.04e-4 (favourable), Urothelial cancer:3.56e-4 (favourable), Pancreatic cancer:5.78e-4 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 9.5	small intestine: 6.2	Cell line enriched	22	MOLT-4: 9.6	Lung
ITGB6	NA	ENSG00000115221	Integrin subunit beta 6	2	160099666-160271888	Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA023626, CAB073536	Approved	NA	Approved	Nucleoplasm<br>Cell Junctions<br>Centrosome	Pancreatic cancer:5.03e-6 (unfavourable)	Mixed	Tissue enhanced	NA	lung: 66.9	urinary bladder: 30.3	Cell line enhanced	NA	CAPAN-2: 122.2;RPTEC TERT1: 206.4	Lung
KCNK17	K2p17.1, TALK-2, TALK2, TASK-4, TASK4	ENSG00000124780	Potassium two pore domain channel subfamily K member 17	6	39299001-39314553	Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at transcript level	HPA043892	Uncertain	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	lung: 5.6	placenta: 5.3	Cell line enriched	9	SCLC-21H: 91.6	Lung
KCNS3	Kv9.3	ENSG00000170745	Potassium voltage-gated channel modifier subfamily S member 3	2	17877847-18361616	Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA014864	Approved	NA	Supported	Golgi apparatus<br>Plasma membrane<br>Cytosol	Renal cancer:1.53e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 35.5	skeletal muscle: 29.6	Cell line enhanced	NA	RH-30: 66.9;RT4: 38.5	Lung
KHDC3L	C6orf221, ECAT1	ENSG00000203908	KH domain containing 3 like, subcortical maternal complex member	6	73362677-73364171	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA043699	Uncertain	NA	NA	NA	NA	Tissue enriched	Tissue enhanced	NA	lung: 1.0;testis: 2.2	epididymis: 0.4	Not detected	NA	NA	Lung
KHDRBS2	MGC26664, SLM-1, SLM1	ENSG00000112232	KH RNA binding domain containing, signal transduction associated 2	6	61679960-62286227	Predicted intracellular proteins	Evidence at protein level	HPA000500, HPA029392	Supported	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	cerebral cortex: 6.6;lung: 5.6;thyroid gland: 11.0	spleen: 1.8	Cell line enhanced	NA	AF22: 7.2;NTERA-2: 1.9;THP-1: 1.0	Lung
KIAA1324L	EIG121L, FLJ31340	ENSG00000164659	KIAA1324 like	7	86876906-87059699	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA044527, HPA076093	Uncertain	NA	Approved	Endoplasmic reticulum	NA	Mixed	Tissue enhanced	NA	lung: 32.2	cerebral cortex: 21.7	Cell line enhanced	NA	K-562: 44.1;SCLC-21H: 45.6	Lung
KLRG2	CLEC15B, FLJ44186	ENSG00000188883	Killer cell lectin like receptor G2	7	139452690-139483712	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA018199	Uncertain	NA	NA	NA	Lung cancer:8.61e-4 (favourable)	Tissue enriched	Tissue enhanced	NA	lung: 4.4;parathyroid gland: 5.7;thyroid gland: 6.8	kidney: 2.7	Cell line enhanced	NA	BEWO: 14.0;HAP1: 15.9;SCLC-21H: 8.6;SK-BR-3: 23.3	Lung
LPCAT1	AGPAT10, AGPAT9, AYTL2, FLJ12443	ENSG00000153395	Lysophosphatidylcholine acyltransferase 1	5	1456480-1523977	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA012501, HPA022268	Enhanced	NA	Supported	Endoplasmic reticulum<br>Lipid droplets	Liver cancer:1.88e-8 (unfavourable), Renal cancer:2.64e-7 (unfavourable), Pancreatic cancer:4.90e-5 (favourable), Cervical cancer:7.11e-5 (unfavourable), Endometrial cancer:3.67e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 19.0;spleen: 14.7	cerebral cortex: 4.4	Cell line enhanced	NA	BEWO: 80.0;EFO-21: 74.7;PC-3: 52.0	Lung
MARCO	SCARA2	ENSG00000019169	Macrophage receptor with collagenous structure	2	118942166-118994660	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA063793	Enhanced	NA	Approved	Golgi apparatus<br>Vesicles	NA	Mixed	Tissue enhanced	NA	appendix: 123.2;lung: 288.2	adipose tissue: 78.0	Cell line enhanced	NA	HaCaT: 1.5;THP-1: 1.7;U-2 OS: 2.7;U-266/70: 1.1	Lung
MATN3	EDM5, HOA	ENSG00000132031	Matrilin 3	2	19992111-20012694	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA051250	NA	NA	Approved	Endoplasmic reticulum<br>Golgi apparatus	Stomach cancer:4.74e-5 (unfavourable), Liver cancer:8.62e-5 (unfavourable), Cervical cancer:1.41e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 20.2;placenta: 16.5	seminal vesicle: 6.2	Cell line enriched	5	Hep G2: 98.9	Lung
MMP13	CLG3	ENSG00000137745	Matrix metallopeptidase 13	11	102942995-102955734	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	lung: 1.5;urinary bladder: 1.3	appendix: 0.3	Cell line enhanced	NA	HaCaT: 15.8;PC-3: 6.2	Lung
MRC1	bA541I19.1, CD206, CLEC13D, CLEC13DL, MRC1L1	ENSG00000260314	Mannose receptor C-type 1	10	17809344-17911170	CD markers, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA004114, HPA045134, CAB068203	Enhanced	NA	NA	NA	NA	Expressed in all	Tissue enhanced	NA	lung: 179.9	placenta: 77.6	Group enriched	22	MOLT-4: 15.4;TIME: 14.0	Lung
MS4A2	APY, FCER1B, IGER, MS4A1	ENSG00000149534	Membrane spanning 4-domains A2	11	60088261-60098466	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA059967	Enhanced	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	lung: 24.8	gallbladder: 18.4	Cell line enhanced	NA	HEL: 2.4;THP-1: 1.0	Lung
MSR1	CD204, SCARA1	ENSG00000038945	Macrophage scavenger receptor 1	8	16107878-16567490	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA000272, CAB032491	Enhanced	NA	NA	NA	NA	Expressed in all	Tissue enhanced	NA	lung: 187.7	gallbladder: 50.2	Group enriched	6	BJ hTERT+: 86.3;REH: 37.8	Lung
MUC1	ADMCKD, ADMCKD1, CD227, MCD, MCKD, MCKD1, PEM, PUM	ENSG00000185499	Mucin 1, cell surface associated	1	155185824-155192916	Cancer-related genes, CD markers, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB000036, CAB001986, HPA004179, HPA007235, HPA008855	Enhanced	NA	NA	NA	Pancreatic cancer:4.60e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 448.0;stomach: 654.1	cervix, uterine: 288.9	Group enriched	7	CAPAN-2: 1005.2;RPTEC TERT1: 654.7;T-47d: 360.0	Lung
NCKAP5	ERIH1, ERIH2, NAP5	ENSG00000176771	NCK associated protein 5	2	132671799-133568463	Predicted intracellular proteins	Evidence at protein level	HPA034639, HPA044859	Uncertain	NA	Approved	Nucleoli<br>Golgi apparatus<br>Plasma membrane<br>Cytosol	NA	Mixed	Tissue enhanced	NA	lung: 17.3	cerebral cortex,kidney: 4.4	Cell line enriched	7	AF22: 45.7	Lung
NDNF	C4orf31, FLJ23191	ENSG00000173376	Neuron derived neurotrophic factor	4	121035613-121073021	Predicted secreted proteins	Evidence at protein level	HPA048881	NA	NA	Supported	Vesicles	Renal cancer:3.26e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	lung: 159.9;placenta: 86.6	ovary: 52.7	Cell line enhanced	NA	fHDF/TERT166: 37.8;U-266/70: 16.0;U-266/84: 60.4	Lung
NINJ2	NA	ENSG00000171840	Ninjurin 2	12	564296-663779	Predicted membrane proteins	Evidence at protein level	HPA058980	NA	NA	Approved	Endoplasmic reticulum	Head and neck cancer:5.31e-4 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 55.6	bone marrow: 23.9	Cell line enhanced	NA	HEL: 137.2;MOLT-4: 210.8	Lung
NKD2	Naked2	ENSG00000145506	Naked cuticle homolog 2	5	1008829-1038943	Predicted intracellular proteins	Evidence at protein level	HPA049463	Uncertain	NA	NA	NA	Renal cancer:2.66e-5 (unfavourable), Melanoma:9.97e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 5.5;skin: 3.8	spleen: 2.9	Cell line enhanced	NA	BEWO: 17.2;NB-4: 11.0;RPMI-8226: 29.0	Lung
NOTCH4	INT3	ENSG00000204301	Notch 4	6	32194843-32224067	Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	Renal cancer:3.84e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 12.1	thyroid gland: 4.2	Not detected	NA	NA	Lung
NPNT	EGFL6L, POEM	ENSG00000168743	Nephronectin	4	105894775-106004027	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA003711, HPA050203	Supported	NA	Approved	Nucleus<br>Cell Junctions<br>Cytosol	Renal cancer:8.28e-8 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 168.4;thyroid gland: 276.0	prostate: 136.5	Cell line enhanced	NA	BEWO: 27.8;HeLa: 22.2;RPTEC TERT1: 28.6;T-47d: 48.1	Lung
OSCAR	NA	ENSG00000170909	Osteoclast associated, immunoglobulin-like receptor	19	54094668-54102692	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	Renal cancer:2.71e-5 (unfavourable)	Expressed in all	Tissue enhanced	NA	bone marrow: 9.0;lung: 14.1	appendix: 3.3	Cell line enhanced	NA	EFO-21: 13.1;HHSteC: 7.9;U-937: 14.0	Lung
PCDHA12	PCDH-ALPHA12	ENSG00000251664	Protocadherin alpha 12	5	140875302-141012344	Predicted membrane proteins	Evidence at transcript level	HPA035812	Approved	NA	Approved	Cytosol	NA	Not detected	Tissue enhanced	NA	lung: 2.7	cerebral cortex: 1.8	Cell line enhanced	NA	A549: 6.8;hTCEpi: 3.3;PC-3: 5.3;RT4: 4.6;SH-SY5Y: 3.3	Lung
PCSK9	FH3, HCHOLA3, NARC-1	ENSG00000169174	Proprotein convertase subtilisin/kexin type 9	1	55039548-55064852	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	Urothelial cancer:2.40e-4 (unfavourable)	Mixed	Tissue enhanced	NA	liver: 6.1;lung: 11.1	colon: 3.4	Cell line enhanced	NA	A-431: 72.0;HaCaT: 94.8;HeLa: 62.7;RPTEC TERT1: 39.4	Lung
PEBP4	CORK1, hPEBP4, MGC22776	ENSG00000134020	Phosphatidylethanolamine binding protein 4	8	22713251-23000000	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA025064	Uncertain	NA	NA	NA	NA	Group enriched	Tissue enhanced	NA	epididymis: 470.5;lung: 173.6;skeletal muscle: 233.0	thyroid gland: 96.3	Cell line enriched	7	U-266/70: 3.0	Lung
PLA2G3	GIII-SPLA2	ENSG00000100078	Phospholipase A2 group III	22	31134809-31140607	Enzymes, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA021016	Uncertain	NA	NA	NA	Head and neck cancer:4.47e-4 (favourable)	Mixed	Tissue enhanced	NA	esophagus: 4.4;lung: 3.6;skin: 10.2	parathyroid gland: 1.5	Group enriched	6	AF22: 14.3;AN3-CA: 13.6;NTERA-2: 7.5;SCLC-21H: 13.2	Lung
PRX	KIAA1620	ENSG00000105227	Periaxin	19	40393768-40413366	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001868	Enhanced	NA	Approved	Golgi apparatus<br>Vesicles<br>Plasma membrane	NA	Expressed in all	Tissue enhanced	NA	lung: 28.8	parathyroid gland: 9.4	Mixed	NA	NA	Lung
PTGIR	IP	ENSG00000160013	Prostaglandin I2 (prostacyclin) receptor (IP)	19	46620468-46625118	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	Renal cancer:2.09e-8 (unfavourable), Testis cancer:1.74e-4 (unfavourable)	Mixed	Tissue enhanced	NA	lung: 13.9	appendix: 8.2	Cell line enhanced	NA	BJ: 9.0;BJ hTERT+: 9.8;fHDF/TERT166: 11.8;HEL: 25.3	Lung
RAMP3	NA	ENSG00000122679	Receptor activity modifying protein 3	7	45157791-45186302	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	NA	NA	NA	NA	NA	Liver cancer:2.50e-6 (favourable), Cervical cancer:2.89e-4 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 120.2	thyroid gland: 66.3	Cell line enhanced	NA	Karpas-707: 1.8	Lung
RP1	DCDC4A, ORP1	ENSG00000104237	RP1, axonemal microtubule associated	8	54554361-54871720	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA042257	Supported	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	fallopian tube: 16.3;lung: 5.4	testis: 2.4	Cell line enhanced	NA	HDLM-2: 4.8;RPTEC TERT1: 7.7;U-2197: 2.2	Lung
RP11-40A7.2	NA	ENSG00000283526	NA	9	131545514-131558620	Predicted membrane proteins	Evidence at transcript level	NA	NA	NA	NA	NA	NA	NA	Tissue enhanced	NA	fallopian tube: 10.2;lung: 6.2	prostate: 4.0	Group enriched	11	A549: 13.2;BEWO: 9.2;MCF7: 3.0;T-47d: 6.8	Lung
RSPO4	C20orf182, dJ824F16.3	ENSG00000101282	R-spondin 4	20	958452-1002264	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA048887	Uncertain	NA	NA	NA	Endometrial cancer:2.98e-6 (unfavourable)	Mixed	Tissue enhanced	NA	lung: 6.8	testis: 2.4	Cell line enhanced	NA	BEWO: 3.0;NTERA-2: 6.4;SK-BR-3: 3.3;U-2 OS: 7.7	Lung
S100A3	S100E	ENSG00000188015	S100 calcium binding protein A3	1	153547329-153549372	Predicted intracellular proteins	Evidence at protein level	HPA042674, HPA056140	Approved	NA	Enhanced	Nucleoli<br>Cytosol	Renal cancer:1.61e-6 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 19.9;skin: 17.3	esophagus: 7.5	Cell line enhanced	NA	A549: 71.3;U-2197: 41.8	Lung
SCTR	NA	ENSG00000080293	Secretin receptor	2	119439843-119525301	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at transcript level	HPA007269	Uncertain	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	duodenum: 26.7;lung: 12.7;pancreas: 14.4	stomach: 4.1	Cell line enhanced	NA	Karpas-707: 2.2	Lung
SEC14L3	TAP2	ENSG00000100012	SEC14 like lipid binding 3	22	30447959-30472049	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA059450	Uncertain	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	bone marrow: 2.3;lung: 1.5;thyroid gland: 2.8	liver: 1.4	Not detected	NA	NA	Lung
SHROOM4	KIAA1202	ENSG00000158352	Shroom family member 4	X	50591647-50814302	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA010565	Uncertain	NA	NA	NA	Renal cancer:4.66e-4 (unfavourable), Endometrial cancer:8.37e-4 (unfavourable)	Mixed	Tissue enhanced	NA	lung: 19.2	placenta: 13.1	Cell line enhanced	NA	EFO-21: 6.5;HUVEC TERT2: 22.2;TIME: 8.3	Lung
SLC11A1	LSH, NRAMP, NRAMP1	ENSG00000018280	Solute carrier family 11 member 1	2	218382029-218396894	Predicted membrane proteins, Transporters	Evidence at protein level	HPA029590	Uncertain	NA	NA	NA	Renal cancer:2.58e-8 (unfavourable)	Mixed	Tissue enhanced	NA	appendix: 9.1;lung: 13.0	spleen: 4.6	Not detected	NA	NA	Lung
SLC39A8	BIGM103	ENSG00000138821	Solute carrier family 39 member 8	4	102251041-102431258	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA038832, HPA038833	Approved	NA	NA	NA	Renal cancer:6.34e-6 (favourable), Colorectal cancer:1.34e-4 (favourable), Breast cancer:6.69e-4 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 257.0	cervix, uterine: 129.4	Cell line enhanced	NA	BJ hTERT+: 128.9;Karpas-707: 123.0	Lung
SLC6A14	NA	ENSG00000268104	Solute carrier family 6 member 14	X	116436622-116461458	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at transcript level	HPA003193	Uncertain	NA	Approved	Vesicles	Pancreatic cancer:9.74e-4 (unfavourable)	Mixed	Tissue enhanced	NA	cervix, uterine: 11.0;lung: 23.9	breast: 9.1	Cell line enhanced	NA	HeLa: 1.0;Hep G2: 2.3	Lung
SLC6A5	GLYT2, NET1	ENSG00000165970	Solute carrier family 6 member 5	11	20599400-20659285	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	NA	NA	NA	NA	NA	NA	Not detected	Tissue enhanced	NA	lung: 1.4	testis: 0.6	Not detected	NA	NA	Lung
SMAD6	HsT17432, MADH6, MADH7	ENSG00000137834	SMAD family member 6	15	66702228-66782848	Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA061917	NA	NA	Supported	Nucleus<br>Nuclear bodies<br>Golgi apparatus	Urothelial cancer:5.45e-5 (favourable)	Expressed in all	Tissue enhanced	NA	lung: 16.8	placenta: 10.7	Cell line enhanced	NA	EFO-21: 28.0	Lung
SOSTDC1	DAND7, DKFZp564D206, USAG1	ENSG00000171243	Sclerostin domain containing 1	7	16461481-16530580	Predicted secreted proteins	Evidence at protein level	NA	NA	NA	NA	NA	Renal cancer:3.22e-5 (favourable), Ovarian cancer:8.69e-4 (favourable), Urothelial cancer:8.72e-4 (unfavourable)	Tissue enhanced	Tissue enhanced	NA	lung: 57.1;stomach: 53.4	kidney: 23.0	Cell line enhanced	NA	AF22: 8.0;EFO-21: 11.2;NTERA-2: 4.7;RPTEC TERT1: 16.9	Lung
SPN	CD43, GPL115, LSN	ENSG00000197471	Sialophorin	16	29662979-29670876	CD markers, Predicted membrane proteins	Evidence at protein level	CAB002666, HPA055244	Enhanced	NA	Uncertain	Golgi apparatus<br>Plasma membrane<br>Cell Junctions	Endometrial cancer:3.08e-5 (favourable), Breast cancer:1.40e-4 (favourable), Melanoma:1.88e-4 (favourable)	Expressed in all	Tissue enhanced	NA	bone marrow: 38.6;lung: 33.3	lymph node: 25.4	Cell line enhanced	NA	HEL: 209.9;HL-60: 167.0;HMC-1: 98.8;U-937: 115.3	Lung
SPOCK2	KIAA0275, testican-2	ENSG00000107742	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2	10	72059035-72089032	Predicted secreted proteins	Evidence at protein level	HPA044605	Supported	NA	Uncertain	Nuclear speckles	Head and neck cancer:1.95e-5 (favourable), Breast cancer:4.05e-4 (favourable), Melanoma:4.72e-4 (favourable), Ovarian cancer:7.19e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	cerebral cortex: 161.8;lung: 127.8	lymph node: 75.1	Group enriched	8	Hep G2: 33.9;SCLC-21H: 79.9	Lung
ST8SIA6	SIAT8F	ENSG00000148488	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	10	17318383-17454330	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA011635, HPA072708	Uncertain	NA	Uncertain	Endoplasmic reticulum	NA	Tissue enhanced	Tissue enhanced	NA	breast: 13.4;lung: 18.1	epididymis: 9.1	Cell line enriched	8	HMC-1: 442.5	Lung
SUSD2	BK65A6.2, FLJ22778	ENSG00000099994	Sushi domain containing 2	22	24181259-24189110	Predicted membrane proteins	Evidence at protein level	HPA004117	Enhanced	NA	Approved	Plasma membrane	Renal cancer:3.29e-5 (unfavourable)	Expressed in all	Tissue enhanced	NA	lung: 139.3	small intestine: 35.2	Cell line enriched	33	SK-BR-3: 622.4	Lung
TBX2	NA	ENSG00000121068	T-box 2	17	61399896-61409466	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA008586, CAB013636	Approved	NA	Approved	Nucleoplasm<br>Cytosol	NA	Expressed in all	Tissue enhanced	NA	lung: 50.0	seminal vesicle: 40.0	Cell line enhanced	NA	AN3-CA: 124.2;MCF7: 62.0;SH-SY5Y: 65.7;WM-115: 44.0	Lung
TLR8	CD288	ENSG00000101916	Toll like receptor 8	X	12906620-12923169	CD markers, Predicted membrane proteins	Evidence at protein level	HPA001608	Enhanced	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	appendix: 23.2;lung: 15.6;spleen: 18.3	lymph node: 6.6	Not detected	NA	NA	Lung
TMEM100	FLJ10970, FLJ37856	ENSG00000166292	Transmembrane protein 100	17	55719627-55732121	Predicted membrane proteins	Evidence at protein level	HPA055936	Approved	NA	Uncertain	Nucleoplasm	Liver cancer:2.67e-5 (favourable), Renal cancer:1.32e-4 (unfavourable)	Mixed	Tissue enhanced	NA	lung: 131.2;placenta: 78.3	epididymis: 44.5	Cell line enhanced	NA	ASC diff: 19.9;ASC TERT1: 13.7;HHSteC: 37.7;HSkMC: 15.0;U-87 MG: 13.6;WM-115: 11.8	Lung
TMEM125	MGC17299	ENSG00000179178	Transmembrane protein 125	1	43269994-43274002	Predicted intracellular proteins, Predicted membrane proteins	Evidence at transcript level	HPA015796	NA	NA	Approved	Midbody<br>Cytosol	Renal cancer:2.91e-9 (favourable), Lung cancer:5.11e-5 (favourable)	Mixed	Tissue enhanced	NA	lung: 113.7	thyroid gland: 51.5	Cell line enhanced	NA	A-431: 23.4;BEWO: 21.1;CAPAN-2: 42.6;SK-BR-3: 31.0;T-47d: 31.2	Lung
TPSD1	NA	ENSG00000095917	Tryptase delta 1	16	1256059-1258998	Enzymes, Predicted secreted proteins	Evidence at protein level	CAB002215, CAB032871, HPA040182, HPA049554	Supported	NA	Uncertain	Nuclear speckles	NA	Mixed	Tissue enhanced	NA	lung: 26.9	gallbladder: 20.3	Group enriched	46	HEL: 25.4;HMC-1: 36.4	Lung
TREM1	CD354, TREM-1	ENSG00000124731	Triggering receptor expressed on myeloid cells 1	6	41267926-41286719	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA005563	Uncertain	NA	NA	NA	NA	Tissue enhanced	Tissue enhanced	NA	appendix: 67.7;bone marrow: 63.0;lung: 103.1	adipose tissue: 26.9	Cell line enriched	11	U-87 MG: 24.5	Lung
TREM2	TREM-2, Trem2a, Trem2b, Trem2c	ENSG00000095970	Triggering receptor expressed on myeloid cells 2	6	41158506-41163186	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA010917, HPA012571	Approved	NA	NA	NA	Liver cancer:4.24e-4 (unfavourable)	Expressed in all	Tissue enhanced	NA	cerebral cortex: 37.0;lung: 40.5	adrenal gland: 16.1	Cell line enhanced	NA	HBEC3-KT: 9.0;hTCEpi: 49.6;THP-1: 26.6	Lung
VEGFD	FIGF, VEGF-D	ENSG00000165197	Vascular endothelial growth factor D	X	15345591-15384376	Cancer-related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA027342	Uncertain	NA	NA	NA	NA	Mixed	Tissue enhanced	NA	breast: 25.0;lung: 59.3	adipose tissue: 13.2	Cell line enhanced	NA	ASC diff: 2.3;ASC TERT1: 2.0;HSkMC: 2.1	Lung
